TOTAL	GeneChunk	runMONSTER	didFAIL	isMISSING
A2M	5207	TRUE	FALSE	FALSE
R3HCC1L	5208	TRUE	FALSE	FALSE
C6orf62	5209	TRUE	FALSE	FALSE
TXNDC17	5210	TRUE	FALSE	FALSE
GPAT2	5211	TRUE	FALSE	FALSE
RNF146	5212	TRUE	FALSE	FALSE
DEFB119	5213	TRUE	FALSE	FALSE
ADAMTS5	5214	TRUE	FALSE	FALSE
GMFB	5215	TRUE	FALSE	FALSE
KIF12	5216	TRUE	FALSE	FALSE
ANO10	5217	TRUE	FALSE	FALSE
GGT7	5218	TRUE	FALSE	FALSE
TTC37	5219	TRUE	FALSE	FALSE
FHL3	5220	TRUE	FALSE	FALSE
TPM2	5221	TRUE	FALSE	FALSE
GPSM2	5222	TRUE	FALSE	FALSE
PRSS3	5223	TRUE	FALSE	FALSE
PLSCR2	5224	TRUE	FALSE	FALSE
SV2A	5225	TRUE	FALSE	FALSE
PTPN2	5226	TRUE	FALSE	FALSE
USP17L11	5227	FALSE	TRUE	FALSE
NUDT12	5228	TRUE	FALSE	FALSE
CXADR	5229	TRUE	FALSE	FALSE
ADD3	5230	TRUE	FALSE	FALSE
CCDC78	5231	TRUE	FALSE	FALSE
FIBP	5232	TRUE	FALSE	FALSE
DDX6	5233	TRUE	FALSE	FALSE
PGA5	5234	TRUE	FALSE	FALSE
AC234582.1	5235	FALSE	TRUE	FALSE
KRTAP6-3	5236	FALSE	TRUE	FALSE
UPK3BL	5237	FALSE	TRUE	FALSE
CCDC84	5238	TRUE	FALSE	FALSE
CCHCR1	5239	TRUE	FALSE	FALSE
C17orf80	5240	TRUE	FALSE	FALSE
IARS2	5241	TRUE	FALSE	FALSE
SLC39A10	5242	TRUE	FALSE	FALSE
AC104981.1	5243	FALSE	TRUE	FALSE
HNF4A	5244	TRUE	FALSE	FALSE
THEM5	5245	TRUE	FALSE	FALSE
RAP1GAP	5246	TRUE	FALSE	FALSE
CHORDC1	5247	TRUE	FALSE	FALSE
FAM3D	5248	TRUE	FALSE	FALSE
TEF	5249	TRUE	FALSE	FALSE
AKR1C3	5250	TRUE	FALSE	FALSE
TROAP	5251	TRUE	FALSE	FALSE
MMP9	5252	TRUE	FALSE	FALSE
PABPC1L	5253	TRUE	FALSE	FALSE
SNED1	5254	TRUE	FALSE	FALSE
ALKBH7	5255	TRUE	FALSE	FALSE
HTATIP2	5256	TRUE	FALSE	FALSE
ANAPC2	5257	FALSE	TRUE	FALSE
XRCC1	5258	TRUE	FALSE	FALSE
RCOR3	5259	TRUE	FALSE	FALSE
ZNF350	5260	TRUE	FALSE	FALSE
NEDD1	5261	TRUE	FALSE	FALSE
KREMEN2	5262	TRUE	FALSE	FALSE
MRC1	5263	FALSE	TRUE	FALSE
PCYT1A	5264	TRUE	FALSE	FALSE
MINK1	5265	TRUE	FALSE	FALSE
CTDSP2	5266	TRUE	FALSE	FALSE
ZBTB12	5267	TRUE	FALSE	FALSE
MDS2	5268	TRUE	FALSE	FALSE
MS4A7	5269	TRUE	FALSE	FALSE
NFIL3	5270	TRUE	FALSE	FALSE
C1orf87	5271	TRUE	FALSE	FALSE
MYF6	5272	TRUE	FALSE	FALSE
HBG2	5273	TRUE	FALSE	FALSE
FAM231A	5274	FALSE	TRUE	FALSE
CCDC129	5275	TRUE	FALSE	FALSE
COX6C	5276	TRUE	FALSE	FALSE
KCNV2	5277	TRUE	FALSE	FALSE
EFR3A	5278	TRUE	FALSE	FALSE
KDM5B	5279	TRUE	FALSE	FALSE
ELK4	5280	TRUE	FALSE	FALSE
FOSB	5281	TRUE	FALSE	FALSE
TMEM209	5282	TRUE	FALSE	FALSE
CRISP1	5283	TRUE	FALSE	FALSE
ATG5	5284	TRUE	FALSE	FALSE
KRAS	5285	TRUE	FALSE	FALSE
SENP3	5286	TRUE	FALSE	FALSE
C9orf40	5287	TRUE	FALSE	FALSE
TAS2R39	5288	FALSE	TRUE	FALSE
GPR21	5289	TRUE	FALSE	FALSE
ZNF264	5290	TRUE	FALSE	FALSE
ZFR	5291	TRUE	FALSE	FALSE
KCNJ11	5292	TRUE	FALSE	FALSE
CD3EAP	5293	TRUE	FALSE	FALSE
FAM163B	5294	FALSE	TRUE	FALSE
PDCD6IP	5295	TRUE	FALSE	FALSE
SH3GLB2	5296	TRUE	FALSE	FALSE
TTC30B	5297	TRUE	FALSE	FALSE
MTSS1L	5298	TRUE	FALSE	FALSE
SULT1A3	5299	FALSE	TRUE	FALSE
PPP6C	5300	TRUE	FALSE	FALSE
UBE2K	5301	TRUE	FALSE	FALSE
