CurrentGene,StoufferMetaP,StoufferMetaP_FDR,StoufferMetaEuropeanP,StoufferMetaEuropeanP_FDR,MetalMetaP,MetalMetaEuropeanP,MetalMetaP_FDR,MetalMetaEuropeanP_FDR,Number_missingPvalues
HIC1,0.1750108684739377,0.7371995052361532,0.2447637450247645,0.7955043018680095,0.001068871255893037,0.004191225850921818,0.003067231509490998,0.010106272667656674,1
KRT20,0.7030352740006987,0.9060724863128359,0.7672039045055732,0.9251850075181134,0.013698263584220723,0.03566666998908446,0.017118013576986734,0.04299584810505847,1
NUAK1,0.34035106943025406,0.8148635878576116,0.3885282689308832,0.8356740741102775,0.0015536929064792115,0.005047472116419745,0.0037964466842750513,0.011143713482628848,0
SEMA4A,0.5444769285356524,0.8722445165168297,0.4519524240554122,0.850133509508477,0.007813501673945516,0.010569620859696833,0.011036844655022124,0.01743324154700394,1
BPI,0.7781329813060894,0.9241874054168808,0.5311207763122583,0.8691257554458596,0.016650074114420474,0.013498577425760164,0.02010918601056245,0.02062362480285823,1
TBCEL,0.6871276332056513,0.9032463553393931,0.8395548760652166,0.9448420449206572,0.007551050362789606,0.040879551108441464,0.010764040049988306,0.04810526568511957,0
OPN4,0.5930749687976363,0.882637144642385,0.4803481550005065,0.8575608399656803,0.004746536621483302,0.005906063441961706,0.007712118544806447,0.012203858918220286,0
NENF,0.01214634323734628,0.4673700935464357,0.00877512867444047,0.45122811124518675,7.189859796485266e-6,2.114566455402365e-5,3.3114813003162254e-4,0.0011885519465139618,0
NKX3-2,0.45977198939512054,0.8529410453868627,0.46877569334628644,0.8533610771203678,0.001554551322760489,0.00549701191882019,0.003798046901549291,0.01166739529311915,0
YEATS4,0.22150703058111904,0.7630783517753648,0.2935887634273057,0.8070279173659927,4.424890114947076e-4,0.002099349114738215,0.0019211929835976592,0.007075622909376043,0
PANK1,0.7931666540391399,0.9285060010778118,0.7059012723930639,0.9089109863040382,0.014404220506942378,0.020576441949785893,0.01782474528382306,0.027988700577662697,0
NDRG4,0.5033558587978904,0.8631252593695494,0.516456465247515,0.8657328235293856,0.003618114808583298,0.008122664241459467,0.006404145032145129,0.01468769742343751,0
PPP2R2C,0.29106760219264793,0.7949709292131674,0.3803301647298007,0.8321197905375893,0.0010676349094996596,0.004252064256125862,0.0030651616366687874,0.010167577022496758,0
EDARADD,0.022183732029774004,0.5498138756499601,0.012045688839729316,0.4829226518775039,2.3502757078653247e-5,3.06556955922306e-5,5.462520902636636e-4,0.0012893598272458488,0
MALL,0.17855148465913667,0.7404368504547525,0.09355230679499098,0.6841722147043121,6.191456845249226e-4,6.213429281605041e-4,0.0022941550323641595,0.004091348053070983,0
EYA3,0.05738570719070831,0.629798443487256,0.09823809923901508,0.6940382695058247,1.0399015139937993e-4,6.737229360830381e-4,9.695850655348944e-4,0.004249872713871827,1
